index,links,pincode,bedrooms,bathroom,parking,furniture,carpet_area_sqft,agent,transaction_type,property_type,price,Latitude,Longitude,location,location_with_pincode
4231,https://www.magicbricks.com/propertyDetails/2-BHK-893-Sq-ft-Multistorey-Apartment-FOR-Sale-Worli-in-Mumbai&id=4d423638363835333939,400018,2,2,No covered parking,semi-furnished,893,Not certified,Resale,Apartment,41900000,19.0167,72.8167,Worli,Worli - 400018
4232,https://www.magicbricks.com/propertyDetails/2-BHK-541-Sq-ft-Multistorey-Apartment-FOR-Sale-Malad-West-in-Mumbai&id=4d423636363638353033,400095,2,2,No covered parking,unfurnished,541,certified agent,Resale,Apartment,11500000,19.2355,72.8468,Kharodi,Kharodi - 400095
4233,https://www.magicbricks.com/propertyDetails/2-BHK-933-Sq-ft-Multistorey-Apartment-FOR-Sale-Andheri-West-in-Mumbai&id=4d423639323636303135,400047,2,2,No covered parking,semi-furnished,933,Not certified,Resale,Apartment,17300000,19.136326,72.82766,Andheri west,Andheri west-400047
4234,https://www.magicbricks.com/propertyDetails/2-BHK-810-Sq-ft-Multistorey-Apartment-FOR-Sale-Mulund-West-in-Mumbai&id=4d423639323331373739,400080,2,2,No covered parking,semi-furnished,747,Not certified,Resale,Apartment,13700000,19.176,72.9522,S.B. Road,S.B. Road - 400080
4235,https://www.magicbricks.com/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Sale-Tardeo-in-Mumbai&id=4d423236343734393535,400007,2,2,covered parking,furnished,1000,Not certified,Resale,Apartment,50000000,18.9667,72.8167,Tardeo,Tardeo - 400007
4236,https://www.magicbricks.com/propertyDetails/2-BHK-680-Sq-ft-Multistorey-Apartment-FOR-Sale-Kapadia-Nagar-in-Mumbai&id=4d423637373936303435,400070,2,2,No covered parking,semi-furnished,680,Not certified,Resale,Apartment,3530000,19.0713,72.883,Kurla North,Kurla North - 400070
4237,https://www.magicbricks.com/propertyDetails/2-BHK-700-Sq-ft-Multistorey-Apartment-FOR-Sale-Andheri-East-in-Mumbai&id=4d423632333939383439,400069,2,3,No covered parking,semi-furnished,725,Not certified,Resale,Apartment,17500000,19.1145,72.8712,Nagardas Road,Nagardas Road - 400069
4238,https://www.magicbricks.com/propertyDetails/2-BHK-1100-Sq-ft-Multistorey-Apartment-FOR-Sale-Colaba-in-Mumbai&id=4d423632373336333833,400005,2,2,No covered parking,unfurnished,1100,Not certified,Resale,Apartment,35000000,18.9069,72.8106,Colaba,Colaba - 400005
4239,https://www.magicbricks.com/propertyDetails/2-BHK-1055-Sq-ft-Multistorey-Apartment-FOR-Sale-Virar-East-in-Mumbai&id=4d423638363331383633,401305,2,2,No covered parking,unfurnished,1055,Not certified,Resale,Apartment,7180000,19.9922,73.202,Virar East,Virar East - 401305
4240,https://www.magicbricks.com/propertyDetails/2-BHK-627-Sq-ft-Multistorey-Apartment-FOR-Sale-Goregaon-West-in-Mumbai&id=4d423639323236373033,400104,2,2,No covered parking,unfurnished,627,Not certified,Resale,Apartment,22000000,19.0499,73.259,Motilal Nagar,Motilal Nagar - 400104
4241,https://www.magicbricks.com/propertyDetails/2-BHK-950-Sq-ft-Multistorey-Apartment-FOR-Sale-Prabhadevi-in-Mumbai&id=4d423434333034323235,400025,2,2,No covered parking,semi-furnished,950,Not certified,Resale,Apartment,40000000,19.0164,72.8294,Prabhadevi,Prabhadevi - 400025
4242,https://www.magicbricks.com/propertyDetails/2-BHK-541-Sq-ft-Multistorey-Apartment-FOR-Sale-Malad-West-in-Mumbai&id=4d423638313933373533,400095,2,2,No covered parking,semi-furnished,541,Not certified,Resale,Apartment,16000000,19.2355,72.8468,Kharodi,Kharodi - 400095
4243,https://www.magicbricks.com/propertyDetails/2-BHK-1200-Sq-ft-Multistorey-Apartment-FOR-Sale-Goregaon-East-in-Mumbai&id=4d423638313434333035,400063,2,2,No covered parking,semi-furnished,1200,Not certified,Resale,Apartment,22500000,19.1624,72.8694,Sharma Estate,Sharma Estate - 400063
4244,https://www.magicbricks.com/propertyDetails/2-BHK-1290-Sq-ft-Multistorey-Apartment-FOR-Sale-Gokuldham-in-Mumbai&id=4d423638313434343433,400063,2,2,No covered parking,semi-furnished,1290,Not certified,Resale,Apartment,19000000,19.1624,72.8694,Sharma Estate,Sharma Estate - 400063
4245,https://www.magicbricks.com/propertyDetails/2-BHK-980-Sq-ft-Multistorey-Apartment-FOR-Sale-Goregaon-West-in-Mumbai&id=4d423638313434383633,400104,2,2,No covered parking,unfurnished,980,Not certified,Resale,Apartment,21000000,19.0499,73.259,Motilal Nagar,Motilal Nagar - 400104
4246,https://www.magicbricks.com/propertyDetails/3-BHK-1500-Sq-ft-Multistorey-Apartment-FOR-Sale-Gandhi-Nagar-Bandra-East-in-Mumbai&id=4d423637393430343439,400051,3,3,No covered parking,unfurnished,1500,Not certified,Resale,Apartment,60000000,20.0435,73.972,Audit Bhavan,Audit Bhavan - 400051
4247,https://www.magicbricks.com/propertyDetails/3-BHK-1800-Sq-ft-Multistorey-Apartment-FOR-Sale-Central-Area-in-Mumbai&id=4d423637393430383631,400076,3,3,No covered parking,unfurnished,1800,Not certified,Resale,Apartment,33800000,19.0737,72.9009,Powai Iit,Powai Iit - 400076
4248,https://www.magicbricks.com/propertyDetails/3-BHK-1630-Sq-ft-Multistorey-Apartment-FOR-Sale-Pathanwadi-in-Mumbai&id=4d423637393430333433,400097,3,3,No covered parking,semi-furnished,1630,Not certified,Resale,Apartment,28000000,19.2355,72.8468,Malad East,Malad East - 400097
4249,https://www.magicbricks.com/propertyDetails/3-BHK-1765-Sq-ft-Multistorey-Apartment-FOR-Sale-Pathanwadi-in-Mumbai&id=4d423637393430333435,400097,3,3,No covered parking,semi-furnished,1765,Not certified,Resale,Apartment,30000000,19.2355,72.8468,Malad East,Malad East - 400097
4250,https://www.magicbricks.com/propertyDetails/3-BHK-1675-Sq-ft-Multistorey-Apartment-FOR-Sale-Abhinav-Nagar-in-Mumbai&id=4d423637393430333631,400066,3,3,No covered parking,unfurnished,1675,Not certified,Resale,Apartment,23500000,19.1699,72.8504,Rajendra Nagar (Mumbai),Rajendra Nagar (Mumbai) - 400066
4251,https://www.magicbricks.com/propertyDetails/3-BHK-2538-Sq-ft-Multistorey-Apartment-FOR-Sale-Gandhi-Nagar-Bandra-East-in-Mumbai&id=4d423637393430343535,400051,3,4,No covered parking,semi-furnished,2538,Not certified,Resale,Apartment,76000000,20.0435,73.972,Audit Bhavan,Audit Bhavan - 400051
